2	0	1	3	4
AHR(+) 253	0.270468208069351	0.308694515539525	0.293569704655475	0.0958793025104828	0.083642971511261
ATF3(+) 763	0.0420415275791129	0.399552996543943	0.375225056601139	0.11447621242017	0.0134713473784172
CEBPB(+) 978	0	0.418235064014523	0.397007709427191	0.114568456445654	0.00934699222173563
CEBPD(+) 538	-8.88178419700125e-16	0.419475585053786	0.398172437386292	0.120007744716095	0
EGR1(+) 758	0.207886362785588	0	0.00829697047201228	0.0198232671740073	0.0210549896274392
ELF2(+) 867	0.0583363463150297	0.0341533126097736	0.0634572270248717	0.0437778341719183	0.0230454043436962
EOMES(+) 273	0.293209875651862	0.00554395018123333	0.00575859132581669	0	0.271299408990345
ETV3(+) 389	0.0556223672132856	0.0291071308960976	0.0305298561604667	0.0532548559391944	4.44089209850063e-16
ETV6(+) 897	0.0104077692725116	0.0566215841819633	0.0391860007459962	0.102794490046714	4.44089209850063e-16
FOSB(+) 111	0.0421334651089169	0.400660288553324	0.380487369541009	0.119688381652524	4.44089209850063e-16
GABPA(+) 357	0.0184515458445595	0.0247204513105433	0.0171621574123519	0.0206815931859003	0.374713369451506
HIF1A(+) 14	0.146529569236014	0.143458099892208	0.132398148155751	0.0563570522220188	0.0589033019855463
IRF5(+) 272	0	0.192047776168129	0.346279549539386	0.0656257096895616	0
JUN(+) 1071	0.744403526434381	0	0.00443616460203111	0.0167527798121403	0.0533626463957195
KLF4(+) 527	0.00568654141816738	0.417003646952494	0.395851345053071	0.119325756679211	4.44089209850063e-16
LEF1(+) 49	0.187478424893232	0.00842803796917058	0	0	0.0230454043436962
MAFB(+) 185	-8.88178419700125e-16	0.424531027752955	0.402917047866172	0.100872583675144	0
MAFG(+) 51	0.00477329694376094	0.382503261511437	0.130196353333483	0.0524229069583911	0
MEF2C(+) 62	0.0337067445087709	0.398602627217574	0.382592567203071	0.120341653001096	0.00903024933991092
MYBL1(+) 31	0.0684141606290116	0.0169283282632255	0.017712238029152	0	0.231909811437644
NFIC(+) 13	0.171970842617006	0.251352010659317	0.203932208532265	0.0843835343163634	0.0365790300862842
NR1D2(+) 21	0.138094590114733	0.00681146235327745	0.0287102878179105	0.0158585452556687	0.268549757008288
RXRA(+) 85	-8.88178419700125e-16	0.419475585053786	0.398172437386292	0.104757013411166	0.0140920137516816
SPI1(+) 1769	0.00284558373520893	0.418235064014523	0.397007709427191	0.119665653997827	0
SPIB(+) 909	0.0847673628489475	0	0	0.212055075092647	0
TBX21(+) 115	0.0910634067390264	0	0	0	0.528162940837352
YBX1(+) 16	0.0502336318952195	0.391018131639218	0.37534600826489	0.12294899388375	0.00886948374452401
ZNF22(+) 13	0.23471868101494	0.052269180434301	0.0598692576756993	0.0429180256404557	0.154813539077515
