source	target	mor
Tfap2a	St3gal4	1
Sp1	Clcn2	1
Sp3	Clcn2	1
Cebpg	Nos2	1
Cebpb	Nos2	1
Cebpa	Alb	1
Tp53	Alox15	1
Litaf	Tnf	1
Irf1	Ifnl2	1
Irf1	Ifnl3	1
Irf2	Ifnl2	1
Irf2	Ifnl3	1
Irf3	Ifnl2	1
Irf3	Ifnl3	1
Rela	Ifnl2	1
Rela	Ifnl3	1
Irf2	Irf2	1
Creb1	Ccnd1	1
Stat6	Ifng	-1
Jun	Il6	1
Egr1	Il1b	1
Egr1	Il1a	1
Hif1a	Epo	1
Hlf	Epo	1
Myc	Cdc25a	1
Tfap2a	Nqo1	1
Fos	Tgfb1	1
Tp53	Mmp1a	-1
Spi1	Reg1	1
Pou1f1	Ghrhr	1
Arnt	Epo	1
Tp73	Mdm2	1
Tp53	Tp73	1
Tp73	Tp53	1
Myc	Emp1	1
Esr1	Emp1	1
Klf11	Hbb-b1	1
Nfatc2	Tat	1
Tcf4	Sstr2	1
Hivep2	Sstr2	1
Esr1	Cryab	1
Tp73	Cdkn1a	1
E2f4	E2f1	-1
Runx1	Bcl2	1
Pou1f1	Trhr	1
Yy1	Acr	1
Crem	Fshb	-1
Sp1	Cdkn1a	1
Gata5	Myh7	1
Gata4	Myh7	1
Gata4	Slc8a1	1
Srf	Slc8a1	1
Elf1	Il5	1
Ets2	Il5	1
Gata3	Il5	1
Ets1	Il5	1
Sp1	Tgfb1	1
Tbp	Crebbp	1
Msx1	Msx1	-1
Runx2	Runx2	1
Otx2	Ncam1	1
Lhx2	Pcyt1a	1
Sp1	Pcyt1a	1
Ddit3	Hspa5	1
Fos	Oxtr	1
Gabpa	Oxtr	1
Jun	Oxtr	1
Tp53	Ngf	1
Rel	Il2ra	1
Fos	Agtr2	1
Sp1	Ldlr	1
Yy1	Ldlr	-1
Cebpa	Pck1	1
Wt1	Cdkn1a	1
Vdr	Rarb	1
Hoxc8	Smad1	1
Hr	Igfbp1	1
Atf1	Cat	1
Relb	Src	1
Fos	Ercc1	1
Yy1	Cxcr4	-1
Myc	Cxcr4	1
Usf1	Cxcr4	1
Creb1	Ang	1
Nr5a1	Nr5a1	1
Nr5a1	Sf1	1
Tp53	Itsn1	1
Cebpe	Elane	1
Ddit3	Epo	1
Atf2	Tnf	1
Jun	Tnf	1
Gata4	Adora1	1
Nkx2-5	Adora1	1
Ar	Acot11	1
Gata4	Acot11	1
Gata4	Ar	1
Nkx2-5	Acot11	1
Nkx2-5	Ar	1
Cebpb	Kras	1
Yy1	Hmgcs2	-1
Lef1	Ccnd1	1
Pax6	Sst	1
Cebpb	Star	1
Nr5a1	Star	1
Pou1f1	Fos	1
Pou1f1	Sstr5	1
Egr1	Cish	1
Nr5a1	Rhd	1
Srf	Fos	1
Fos	Tf	1
Znf143	Stub1	1
Myc	Cdkn1a	-1
Jun	Il2	1
Sox9	Mia	1
Irf2	Cdkn1a	1
Irf1	Irf2	1
Irf2	Irf1	1
Litaf	Mdm2	1
Litaf	Mrpl41	1
Litaf	Pik3r1	1
Tp53	Litaf	1
Litaf	Tp53	1
Tp53	Btg2	1
Tp53	Grem1	1
Tp53	Mrpl41	1
Tp53	Pik3r1	1
Sp3	Cdkn1a	1
Tp53	Pcna	1
Ar	Ar	1
Jun	Atf2	1
Atf2	Jun	1
Atf2	Tnfrsf11a	1
Jun	Tnfrsf11a	1
Ybx1	Ercc2	1
Ybx1	Ercc3	1
Ybx1	Xrcc1	1
Hsf1	Icam1	1
Hsf1	Il6	1
Hsf1	Tnf	1
Hsf1	Il1b	1
Ppara	Ucp3	1
Rel	Jag1	1
Rela	Jag1	1
Hes1	Fcer1g	1
Egr1	F3	1
Egr1	Srf	1
Srf	Egr1	1
Sp1	Sp1	1
Foxe1	Tpo	1
Pou4f1	Bcl2	1
Noto	Btk	1
Hnf4a	Serpina1e	1
Hnf4a	Serpina1a	1
Hnf4a	Serpina1b	1
Hnf4a	Serpina1d	1
Hnf4a	Serpina1c	1
Hnf1a	Serpina1e	1
Hnf1a	Serpina1a	1
Hnf1a	Serpina1b	1
Hnf1a	Serpina1d	1
Hnf1a	Serpina1c	1
Hnf1b	Serpina1e	1
Hnf1b	Serpina1a	1
Hnf1b	Serpina1b	1
Hnf1b	Serpina1d	1
Hnf1b	Serpina1c	1
Sox9	Epyc	1
Srf	Srf	1
Pax3	Fgf2	1
Jun	Csf2	1
Nfatc2	Csf2	1
Vdr	Csf2	-1
Mef2a	Jun	1
Gata6	Nppa	1
Runx2	Mmp13	1
Ybx1	Mmp13	-1
Fli1	Epo	1
Fli1	Rb1	1
Fli1	Cfc1	1
Cebpe	Cebpe	1
Pdx1	Chka	1
Pdx1	Ins2	1
Hnf1a	Hnf4a	1
Hnf4a	Hnf1a	1
Nr2f2	Hnf1a	1
Hnf1a	Ins2	1
Nr1h4	Cyp7a1	-1
Ascl1	Ngf	1
Hes1	Ngf	1
Rfx1	Pcna	-1
Crx	Sag	1
Nrl	Sag	1
E2f1	Dhfr	1
Tbp	Dhfr	1
Pax5	Il2	1
Usf1	Jchain	1
Nr5a1	Grin2c	1
Jdp2	Poli	1
Ubtf	Poli	1
Jun	Thbs1	1
Wt1	Thbs1	1
Sp1	Igfbp4	1
Nr5a1	Ctla4	1
Mybl2	Bcl2	1
Elf2	Tek	1
Elf1	Cd4	1
Ar	Ncoa4	1
Ncoa4	Ar	1
Nr2c2	Cyp24a1	-1
Tp53	Ndn	1
Jund	Jund	1
Max	Tp53	1
Myc	Tp53	1
Tp53	Myc	-1
Tp53	Nfkb1	1
Nfkb1	Tp53	1
Tp53	Rela	1
Rela	Tp53	1
Crx	Grb10	1
Jun	Gsc	1
Jun	Ghrhr	1
Tp63	Il12b	1
Nfkbib	Nos2	1
Nr2f2	Aldh2	1
Ahr	Aldh3a1	1
Otx2	Grb10	1
Hoxc6	Ncam1	1
Hr	Ncam1	1
Foxo1	Igfbp1	1
Stat5a	Csn2	1
Stat5b	Csn2	1
Gata4	Fgf3	1
Irf1	Ccl4	1
Irf8	Irf8	1
Irf8	Samhd1	1
Tp53	Pgam2	1
Spi1	Utrn	1
Ahr	Cyp1a1	1
Pitx2	Siglec1	1
Nr5a2	Cyp7a1	-1
Stat3	Socs3	1
Pou2f1	Il5	1
Yy1	Il5	1
Sp1	Ccnd3	1
Rara	Plau	1
Sp1	Plau	1
Nfya	Nfya	1
Lef1	Mmp7	1
Spi1	Btk	1
Sp1	Btk	1
Sp3	Btk	1
Sp3	Sp1	1
Sp1	Sp3	1
Xbp1	Egfr	1
Stat6	Il4	1
Stat6	Selp	1
Srebf1	Apoa2	1
Sp1	Slc2a1	1
Cebpb	Fshb	1
Gata4	Star	1
Egr1	Mmp12	-1
Tcf3	Emc7	1
Cebpg	Hp	1
Lrrfip1	Pdgfa	-1
Egr1	Pdgfa	1
Sp1	Pdgfa	1
Jun	Jun	1
Tp53	Il6	-1
Neurod1	Neurod1	1
Tcf12	Neurod1	1
Jun	Abcb1a	-1
Rela	Cd40lg	1
Ikzf3	Bcl2	1
Sp1	Abcc8	1
Stat5a	Ins2	1
Stat5a	Prlr	1
Stat5b	Ins2	1
Stat5b	Prlr	1
Nfkbib	Plg	1
Sp1	Cebpa	-1
Cebpb	Sp1	1
Sp1	Cebpd	1
Cebpd	Sp1	1
Gtf2i	Btk	1
Nr3c1	Bcl2	-1
Stat6	Crebbp	1
Rbpj	Il6	1
Sp1	Odc1	1
Sp3	Odc1	-1
Jun	Igfbp1	-1
Myc	Actb	1
Myc	Brca1	1
Brca1	Myc	1
Nr5a1	Cyp19a1	1
Eno1	Il6	1
Xbp1	Il6	-1
Zfp362	Nodal	1
Ppara	Vcam1	-1
Esr1	Nrip1	1
Myc	Bin1	1
Myc	Odc1	1
Nrf1	Cxcr4	1
Gata1	Bcl2l1	1
Mycn	Ndrg1	-1
Myc	Ndrg1	-1
Max	Ndrg1	-1
Hoxb1	Hoxb1	1
Pknox1	Hoxb1	1
Nr4a3	Il2	1
Nr4a3	Il4	1
Nr4a3	Itk	1
Nr4a3	Cd28	1
Tp63	Cdkn1a	1
Ssrp1	Mapk8	1
Ssrp1	Traf1	1
Sp1	Cyp11a1	1
Tbp	Ache	1
Ssrp1	Ins2	1
Esr1	Comt	1
Spi1	Timp1	1
Nr2c1	Hrh1	-1
Atf1	Egr1	1
Creb1	Egr1	1
Atf1	Map2k2	1
Id3	Bmp4	1
Id3	Id2	1
Id2	Id3	1
Erf	Cryaa	1
Jun	Cryaa	1
Egr1	Abcb1a	1
Znf354c	Abcb1a	1
Wt1	Abcb1a	1
Usf1	Pdx1	1
Egr1	Egf	1
Egr1	Tkt	1
Elf1	Fcgrt	-1
Gata1	Fcgrt	1
Hmga1	Ly6e	1
Pou2f1	Ly6e	1
Pou2f2	Ly6e	1
Gata1	Epb42	1
Phox2b	Phox2b	1
Phox2b	Dbh	1
Phox2b	Fos	1
Pou1f1	Prdx6	1
Sp1	Prdx6	1
Creb1	Myb	1
Srebf2	Kpnb1	1
Ahr	Cdkn1b	1
Egr1	Egr1	-1
Elf1	9530003J23Rik	1
Elf1	Lyz2	1
Elf1	Lyz1	1
Elf4	9530003J23Rik	1
Elf4	Lyz2	1
Elf4	Lyz1	1
Tp53	Gabra6	1
Tp53	Tubb3	1
Dlx4	Gata1	1
Nr0b1	Star	-1
Ar	Star	1
Hnf1a	Cyp7a1	1
Nr1h3	Cyp7a1	1
Nr2f2	Cyp7a1	1
Irf1	Tnf	1
Stat5a	Hsd3b1	1
Max	Stat5a	1
Wt1	Wt1	-1
Wt1	Bcl2	1
Fos	Clu	-1
Fosl1	Clu	1
Junb	Clu	1
Creb1	Th	1
Jun	Sftpb	-1
Pax6	Unc5c	1
Ascl1	Ehd1	1
Mtf2	Ace2	1
Crem	Ins2	1
Crem	Taf4	1
Tbp	Ins2	1
Pparg	Srebf1	1
Srebf1	Pparg	1
Pparg	Srebf2	-1
Srebf2	Pparg	1
Esr1	Ckb	1
Esr2	Oxt	1
Pax3	Pax3	1
Pax3	Pdgfra	-1
Cebpg	Hpn	1
Sp1	Hpn	1
Tfap2a	Hpn	1
Sp1	Abcb1a	1
Ybx1	Abcb1a	1
Jun	Spi1	1
Spi1	Jun	1
Usf1	Spp1	1
Hif1a	Vegfa	1
Smad4	Cdkn1a	1
Pdx1	S100g	1
Vdr	S100g	1
Dnmt1	Cftr	1
Klf5	Myh10	1
Klf5	Gzma	1
Esr1	C3	1
Nr3c1	Csn2	1
Pgr	Csn2	-1
Egr1	Tnf	1
Tbp	Snap25	1
Irf1	Il18	1
Stat5a	Il4	1
Stat5b	Il4	1
Sp1	Fn1	1
Dlx4	Theg	1
Zbtb12	Theg	1
Dlx4	Fn1	1
Fos	Fn1	1
Jun	Fn1	1
Myc	Fn1	-1
Zbtb12	Fn1	1
Pparg	Fabp4	1
Pdx1	Prkcg	1
Pdx1	Psma5	1
Stat5a	Bcl2l1	1
Sp1	Lep	1
Stat5a	Osm	1
Egr1	Mmp14	1
Esr1	Spp1	1
Esr2	Spp1	1
Myrf	Col5a2	1
Pparg	Cd36	1
Pou2f2	Tgfa	1
Pdx1	Gfap	1
Stat5a	Ptgs2	1
Ssrp1	Hes1	1
Ssrp1	Hes5	1
Ssrp1	Notch3	1
Cebpb	Il6	-1
Pax5	Cd79a	1
Pax5	Rag2	1
Pax5	Ebf1	1
Ebf1	Pax5	1
Tp53	Crebbp	1
Crebbp	Tp53	1
Ets1	Parp1	1
Tp53	Ache	1
Tp53	Aqp1	1
Tp73	Aqp1	1
Tp73	Crebbp	1
Tp73	Gadd45a	1
Pou2f1	H2-Ea	-1
Pou2f1	P04224	-1
Ets1	Mgat5	1
Jun	Mgat5	1
Nfya	Cdk1	-1
Cebpg	Cd14	1
Cebpb	Prg2	1
Gata1	Prg2	1
Gata1	Mbp	1
Zfpm1	Mbp	1
Cebpg	Mbp	1
Cebpb	Mbp	1
Pdx1	Gcg	1
Pdx1	Pik3c3	1
Cebpb	Hsp90aa1	1
Stat3	Hsp90aa1	1
Hsf1	Hsp90aa1	1
Hsf1	Hspa4	1
Stat3	Hspa4	1
Apex1	Apex1	1
Cebpb	Hp	1
Cebpb	Mapk1	1
Stat3	Hp	1
Tead2	Tp53	1
Hif1a	Tfrc	1
Myc	Hspa4	1
Sp1	Psen1	1
Nr0b1	Nr0b1	1
Nr5a1	Nr0b1	1
Nr0b1	Nr5a1	-1
Esr1	Tnfrsf11a	1
Sp1	Slc25a5	1
Sp1	Tnfrsf11a	1
Esr1	E2f1	1
Sp1	E2f1	1
Sp3	Cyp11a1	1
Tfap2a	Cyp11a1	1
Sp1	Spi1	1
Spi1	Sp1	1
Sp3	Spi1	1
Spi1	Sp3	1
Spi1	Cyp11a1	1
Stat3	Hsp90ab1	1
Znf281	Odc1	1
Znf148	Odc1	1
Znf148	Gast	1
Tp53	Kras	1
Tfam	Slc25a5	1
Sp1	Plat	1
Sp3	Plat	1
Spi1	Csf2rb2	1
Spi1	Csf2rb	1
Irf4	Il1b	1
Irf8	Il1b	1
Spi1	Il1b	1
Irf2	Ifng	1
Sp1	Nfkbia	1
Ar	Dnm1l	1
Ar	Src	1
Ncoa1	Msh6	1
Ncoa1	Psmd4	1
Ncoa2	Dnm1l	1
Ncoa2	Msh6	1
Ncoa2	Psmd4	1
Ncoa2	Src	1
Sp1	Reck	1
Runx1	Blk	1
Pax5	Blk	1
Srebf2	Ldlr	1
Foxa1	Afp	1
Nr4a2	Th	1
Spi1	Th	1
Sp1	Mbp	1
Nr0b2	Syk	1
Nr0b2	Il2	1
Pgr	Igfbp1	1
Nr5a1	Cyp11a1	1
Hnf1a	Ugt1a1	1
Mga	Mga	1
Nfkb1	Ccnd1	1
Rela	Ccnd1	1
Cebpd	Il1b	1
Cebpb	Il1b	1
Esr2	Fshb	1
Tp53	Bag1	-1
Rela	Plau	1
Myc	Myc	-1
Rel	Ccl12	1
Rela	Ccl12	1
Tp53	Mdm4	1
Tp73	Mdm4	1
Wt1	Mycn	-1
Ahr	Ctsd	1
Arnt	Ctsd	1
Stat5a	Stat5a	1
Creb1	Jun	-1
Cebpg	Pck1	1
Ddit3	Hspa4	1
Fos	Hspa5	1
Pgr	Igfbp5	1
Cebpg	Star	1
Ppara	Edn1	-1
Atf2	Ep300	1
Gata4	Ankrd1	1
Nkx2-5	Ankrd1	1
Nfatc2	Xcl1	1
Lhx3	Esr1	1
Nr5a1	Scarb1	1
Nfic	Ar	1
Tp53	Il2	-1
Fos	Ccnd2	1
Pax3	Tyrp1	1
Pax3	Fn1	1
Pax3	Mitf	1
Mitf	Pax3	1
Ctcf	9530003J23Rik	1
Ctcf	Lyz2	1
Ctcf	Lyz1	1
Rela	Tnf	1
Nfkb1	Tnf	1
Stat5a	Il7r	1
Wt1	Areg	1
Dbp	Cyp2a4	1
Nfic	Cyp1a1	-1
Bcl6	Il4	1
Bcl6	Stat6	1
Stat6	Bcl6	1
Rb1	E2f1	-1
E2f1	Rb1	1
Sp1	Lhcgr	1
Sp3	Lhcgr	1
Hnf1b	Ins2	1
Hnf4a	Ins2	1
Rest	Gria2	-1
Hoxd3	Plau	1
Sp1	Pdlim7	1
Sp3	Pdlim7	1
Irf9	Ifnl2	1
Irf9	Ifnl3	1
Nr2f2	Pklr	-1
Usf1	Pklr	1
Junb	Il6	-1
Stat3	Junb	1
Sp1	Ccnd1	1
Tfap2a	Mxi1	1
Esr1	Tfap2a	1
Tfap2a	Esr1	1
Esr1	Tfap2c	1
Tfap2c	Esr1	1
Irf1	Slpi	-1
Pax8	Tnf	1
Pax8	Tg	1
Nkx2-1	Tg	1
Nkx2-1	Tnf	1
Wt1	Igf1r	-1
Pdx1	Pdx1	1
Esr1	Ccnd1	1
Pbx1	Preb	1
Tcf3	Preb	1
Pbx1	Wnt16	1
Tcf3	Wnt16	1
Myc	Ache	1
Myc	Kat2b	1
Sp1	Itgav	1
Sp3	Itgav	1
Nr0b1	Abcd2	1
Nr0b1	Abcd3	1
E2f1	Ccne1	1
E2f1	Ccnd1	1
Tp53	Yy1	1
Yy1	Tp53	1
Irf1	Ciita	1
Ciita	Irf1	1
Cdx2	Gcg	1
Pou3f4	Gcg	1
Sp1	Mmp2	1
Sp3	Mmp2	1
Tfap2a	Mmp2	1
Cebpg	Mmp2	1
Etv4	Mmp2	1
Elf3	Folh1	1
Elf3	Klk1b26	1
Elf3	Klk1b8	1
Elf3	Klk1b9	1
Elf3	Klk1b1	1
Elf3	Klk1b11	1
Elf3	Klk1b27	1
Elf3	Klk1b22	1
Elf3	Klk1b21	1
Elf3	Klk1b5	1
Elf3	Klk1b16	1
Elf3	Klk1b3	1
Elf3	Klk1b24	1
Elf3	Klk1b4	1
Elf3	Klk1	1
Atf2	Cdkn1a	1
Junb	Cdkn1a	1
Jund	Cdkn1a	1
Jun	Pdgfb	1
Myc	Ccnd2	1
Max	Ccnd2	1
Myc	Max	1
Max	Myc	-1
Myc	Mxd1	1
Tcf12	Cd4	1
Zeb1	Cd4	-1
Egr1	Fas	-1
Egr3	Faslg	1
Fli1	Tgfbr2	1
Cebpb	S100a8	1
Cebpg	S100a8	1
Sp1	Bax	1
Ets1	Ddit3	1
Fli1	Ddit3	1
Tp53	Ets1	-1
Ets1	Tp53	1
Ets2	Tp53	1
Ddit3	Gadd45a	1
Sp1	Pou5f1	1
Stat5a	Fos	1
Egr1	Nab2	1
Nab2	Egr1	-1
Tp53	Cdk1	-1
Tp53	Stmn1	-1
Nr1h4	Fabp6	1
Tp53	Cdkn1b	1
Nr1i3	Sgip1	1
Tp53	Sgip1	1
Nr3c1	Crh	-1
Hnf1b	Hnf4a	1
Hnf4a	Hnf1b	1
Nr3c1	Serpine1	-1
Tp53	Map4	-1
Deaf1	Hnrnpa2b1	-1
Esr1	Hras	1
Tbpl1	Gtf2b	1
Tbpl1	Gtf2a1	1
Myod1	Cdkn1c	1
Myod1	Ccne1	1
Myod1	Cdk2	1
Relb	Il1a	1
Relb	Il1b	1
Relb	Tnf	1
Mef2c	Jun	1
Spi1	Ets2	1
Tfap2a	Cdh1	1
Myc	Cdh1	1
Myb	Tom1	1
Pax5	Pax5	1
Pou4f2	Pax6	1
Pou4f2	Epo	1
Tal1	Pik3c3	1
Stat6	Irf1	1
Stat6	Stat6	1
Hnf1a	Cyp27a1	1
Tp53	Ghrhr	1
Tp53	Map2k1	1
Tp53	Mapk1	1
Ppara	Ucp1	1
Pparg	Ucp1	1
Nr4a1	Mef2a	1
Mef2a	Nr4a1	1
Mef2a	Cabin1	1
Epas1	Vegfa	1
Fos	Cebpb	1
Cebpb	Fos	1
Cebpg	Fos	1
Dnmt1	Psen1	1
Cebpg	Rnase2b	1
Fos	Prkaca	1
Smarca1	Hbb-b1	1
Srebf1	Gck	1
Nfatc4	Gsk3b	1
Rara	Trh	1
Rest	Avp	-1
Atf1	Il10	1
Creb1	Il10	1
Rela	Adra1d	1
Spi1	Fut2	1
Ppara	Il6	-1
Rela	Il6	1
Kat7	Il6	1
Cebpg	Alb	1
Tp53	Alb	1
Sp1	Nfya	1
Spi1	Itgb2	1
Hnf1a	Alb	1
Foxm1	Alb	1
Cebpb	Cebpb	1
Myb	Cebpb	1
Cebpb	Ebp	1
Myb	Ebp	1
Cebpb	Cebpa	1
Cebpa	Cebpb	1
Arhgap35	Fos	1
Myog	Myf5	1
Myf5	Myog	1
Myog	Mef2a	1
Mef2a	Myog	1
Myod1	Myog	1
Myog	Myod1	1
Usf1	Ccnb1	1
Hnf4a	Wnt2	1
Ssrp1	Spp2	1
Myc	Ar	1
Ar	Myc	1
Srebf1	Cyp51a1	1
Foxk1	Scn5a	1
Sp1	Scn5a	1
Creb1	Tnf	1
Srebf1	Rps14	1
Sp1	F3	1
Tfap2a	Recql4	1
Ebf1	Blk	1
Ebf1	Ebf1	1
Nfkb1	Icam1	1
Nfkb1	Vcam1	1
Rela	Icam1	1
Rela	Vcam1	1
Tp53	Ing1	1
Tp53	Mbp	1
Ets1	Flt1	1
Sp3	Abcc3	1
Sp3	Slc2a1	-1
Cebpe	Ltf	1
Cebpg	Osm	1
Irf1	Camk4	1
Irf1	Trim63	1
Irf2	Camk4	1
Irf2	Ciita	1
Ciita	Irf2	1
Usf1	Brca2	1
Elf1	Brca2	1
Usf2	Brca2	1
Sp1	Tnf	1
Smad7	Smad3	-1
Smad3	Smad7	1
Smad4	Smad7	1
Smad7	Smad7	1
Fosl1	Eln	-1
Jun	Eln	-1
Jun	Fgf2	1
Tp73	Bax	1
Sox10	Chrna10	1
Pou3f1	Chrna3	1
Sox10	Chrna3	1
Hif1a	Cdkn1a	1
Ahr	Ahr	1
Ahr	Ghrhr	1
Nr3c1	Cps1	1
Nkrf	Ifnb1	1
Tp53	Rnf123	1
Tfap2a	Mpg	1
Atf6	Hspa5	1
Stat5a	Il6	1
Sp1	Cd74	1
Atf1	Tgfb2	1
Creb1	Tgfb2	1
Atf1	Tgfbr2	1
Creb1	Cblif	1
Creb1	Tgfbr2	1
Usf1	Cblif	1
Usf1	Tgfbr2	1
Usf2	Cblif	1
Gata5	Nppa	1
Sp1	Oas1a	1
Sp3	Oas1a	1
Hopx	Fkbp4	1
Myc	Cad	1
Usf1	Cad	1
Tcf3	Ins2	1
Hr	Xrcc1	1
Jund	Nr4a1	1
Nkx6-1	Ins2	1
Fos	Ube2b	1
Jun	Ube2b	1
Irf1	Ncf2	1
Irf8	Ncf2	1
