source	target	mor
NFKB1_RELB	SYTL1	1
REL_RELA	SYTL1	1
NFKB1_NFKB2	SYTL1	1
NFKB1_REL	SYTL1	1
NFKB2_RELB	SYTL1	1
RELB	SYTL1	1
NFKB1_RELA	SYTL1	1
NFKB2	SYTL1	1
NFKB2_REL	SYTL1	1
REL_RELB	SYTL1	1
REL	SYTL1	1
RELA_RELB	GADD45B	1
NFKB2_RELA	GADD45B	1
NFKB1_RELB	GADD45B	1
REL_RELA	GADD45B	1
NFKB1_NFKB2	GADD45B	1
NFKB1_REL	GADD45B	1
NFKB2_RELB	GADD45B	1
RELB	GADD45B	1
